user_id,N_cards,N_notes,N_decks,N_presets,mem_bytes
8027,100601,88740,2093,4,1632905216
4830,107520,87772,574,5,1623948800
7112,106321,87077,1388,1,1623774720
9355,108640,87110,625,1,1621015552
7426,151943,73170,177,15,1619853568
1035,102436,88804,739,2,1618130176
8647,93413,90953,1303,3,1616750592
2081,109886,85004,1620,1,1616263168
4972,109044,84038,2108,1,1608481792
7129,102958,87761,769,1,1607293696
1502,117149,82837,473,1,1599612416
3076,107693,86231,240,6,1598781184
539,120929,81961,129,1,1598637568
9386,108567,85130,676,5,1595787008
3737,107332,84844,1061,1,1593328128
5035,102026,86320,728,2,1583723264
9543,104069,84365,1492,2,1580389632
173,107835,84819,182,7,1579967488
6285,103428,84424,1416,1,1577034240
5106,102502,85572,689,5,1575389184
570,98090,85573,1771,1,1574984448
3818,90140,90114,333,2,1574653696
2483,122769,79101,264,1,1571655168
430,106263,84464,260,2,1569783808
2210,107494,82234,1615,7,1569679360
6244,97534,86688,716,3,1568782848
6271,97405,83673,2761,2,1564443904
2962,97170,84423,2243,2,1564195840
8887,99105,86525,165,1,1563873792
3313,113159,80639,1065,2,1563869440
465,101364,84712,206,8,1550839552
8959,113853,78850,1358,14,1548789760
4525,92135,86146,1139,1,1545547520
9358,93288,87217,40,1,1545416960
9367,105593,82103,719,6,1544085248
2951,98430,82394,2145,2,1541482752
1048,91757,85151,1600,1,1538936832
3849,99320,84211,409,3,1538871552
3981,97985,84190,336,3,1531516672
2386,100783,82324,1037,1,1531507968
7576,96494,84480,445,1,1530685440
4296,99979,82446,927,2,1527699968
5517,100415,81439,1573,2,1527695616
7268,99266,83698,159,1,1527560704
8044,98978,83244,531,1,1526855680
3228,95143,84824,100,2,1523304448
6309,106150,79194,1138,1,1515758080
7539,101225,81998,195,14,1514687488
1996,90206,85347,360,17,1513368832
4551,107991,79240,327,1,1510252800
3708,99651,78000,3143,1,1506788608
1669,99789,82059,33,1,1506244608
2768,102398,80755,342,6,1506018304
4797,94087,83379,184,32,1501696768
4961,105862,79126,353,1,1499951616
6112,101866,79577,940,1,1498667776
7216,99934,81330,61,5,1497897472
4438,95762,81339,100,2,1480498176
3208,92908,82192,71,5,1478748672
5353,96399,78414,1939,5,1477134080
6857,101829,77484,908,3,1470649600
2603,105265,77040,157,1,1466706688
4511,98346,79241,174,11,1465757952
7459,88581,82216,42,4,1459713024
3899,95821,79033,465,4,1457027840
8903,93487,78850,1064,1,1454869248
6090,93520,78070,1466,2,1451840256
8894,91412,80137,271,5,1448889600
2177,93134,79596,195,1,1447945216
3377,100439,77054,199,4,1446657024
1191,84573,81691,41,1,1435359232
897,93908,78089,255,1,1432682752
4567,93647,77451,796,1,1432634880
8782,102860,74440,636,4,1430672128
555,90707,78251,425,1,1423826432
9352,90270,78859,17,1,1422760192
9767,92263,77515,490,3,1422146560
9405,92517,76481,1171,1,1421580800
2890,81568,81568,13,5,1420240384
5485,91205,77079,909,1,1419117568
1898,93350,75217,1646,1,1416972032
7278,97454,75896,76,1,1416367104
2750,97131,75390,362,1,1413333760
3123,80859,80859,104,1,1409430016
435,90311,76176,1203,1,1408555264
3956,98228,73732,960,5,1406923264
8509,113028,68690,847,3,1403511296
8534,95877,73662,1342,2,1402388480
3469,91918,76483,148,1,1401191680
1188,88890,73207,3352,4,1401056768
5333,93254,75954,187,6,1400843520
7756,108646,68385,2016,1,1400782592
5045,91978,76044,375,25,1399986176
5800,80306,80197,148,1,1399146240
9974,91409,76550,42,7,1398084352
5752,86568,76677,1117,3,1397335808
3650,91993,74668,1266,1,1397283584
9005,98360,73232,692,3,1396278272
3549,98367,73967,88,7,1395442688
9813,88889,76173,769,1,1394772480
6789,87443,76526,817,2,1393936896
1973,93432,75018,371,20,1392783616
2693,99546,71937,1047,2,1390699008
5605,91935,75242,395,8,1389454336
1933,93970,73046,1466,1,1388192256
9302,101523,71996,349,2,1387922432
2409,99813,71658,1022,5,1387822336
3491,92938,74348,725,1,1387800576
8802,87806,76292,503,1,1386982400
1017,91926,74344,855,9,1385711616
2245,85108,76419,938,1,1384471296
4445,80700,79027,33,3,1383609600
3246,90459,75642,82,1,1382713088
3656,93651,73591,808,2,1382478080
1942,107905,69820,35,23,1382095104
7206,90211,75118,386,1,1380084480
764,93300,73395,751,5,1377438464
7335,87537,75468,533,1,1375575808
2888,83913,76194,845,1,1374714112
9613,104889,69145,407,2,1366358272
386,89156,73752,840,2,1365574912
9102,91341,73501,418,1,1364447744
9768,95218,70319,1727,4,1362602496
6810,83511,76482,8,6,1362219520
3024,90001,70919,2545,2,1361945344
4401,92527,72831,449,3,1361427456
4061,93910,71607,1008,1,1361170688
3217,104549,68961,286,2,1360369920
3345,94312,69806,2098,1,1358381056
4018,89352,73940,200,6,1357793536
8117,88599,73979,355,2,1357671680
8656,94007,71888,427,1,1355147520
8464,86234,74728,221,1,1354812416
5409,86776,73708,672,2,1351718144
6427,88095,72888,817,1,1349263616
6579,83387,74248,850,1,1347105024
3805,91080,71515,848,3,1344894208
55,87020,73370,378,13,1343392768
999,102040,68420,152,13,1340198400
9621,92038,70905,544,1,1335781120
3997,85736,73584,92,3,1335489536
7221,93787,70969,23,13,1335315456
323,87924,72442,297,1,1333644288
7151,90914,70530,964,3,1333330944
5951,90756,71356,377,1,1333182976
2325,77032,75934,59,1,1327690752
6490,84592,72229,885,2,1326611456
8294,89634,70528,888,2,1326398208
2128,81049,71992,1857,2,1325018624
3257,84102,73019,170,1,1322333440
1734,88511,71055,401,1,1319900672
7111,92243,70163,115,1,1319517696
1392,79662,71506,2158,1,1317863936
4340,87111,70642,930,1,1317624576
9459,86352,71281,605,1,1317006592
9168,85744,72223,9,3,1316310272
1185,83444,71488,1037,7,1314652160
9899,81820,72231,560,1,1308903168
4547,88376,70092,371,1,1306217984
3010,85656,70499,720,1,1305769728
1857,81361,71071,974,5,1299019776
851,87662,69822,336,4,1299015424
7027,83142,71084,505,1,1298723840
4055,83606,71097,342,3,1298101504
530,92322,68472,131,3,1298088448
3531,84523,70833,159,1,1295433728
4532,74693,71783,1894,2,1295272704
3001,82641,70968,507,1,1295063808
8323,82699,71135,230,3,1292700672
2764,87167,69131,590,1,1292221952
3678,73895,73895,237,2,1290529024
9383,73453,73453,635,1,1289750016
1560,88327,68416,579,2,1287756800
8932,73179,70974,2437,1,1287560960
6221,86406,68611,869,1,1286977792
4379,89589,68561,81,13,1286616576
6498,83780,69580,658,4,1284566784
7493,75660,72505,496,1,1284558080
6488,85142,68723,747,1,1280815360
8222,84071,69145,653,13,1280184320
7846,81500,70490,266,1,1279662080
8882,99255,63197,1293,2,1279605504
1573,89443,61094,5256,1,1278421760
2607,83893,69066,624,4,1277755904
3814,86039,68791,185,1,1275823616
9466,81331,69737,537,20,1274061056
7420,94772,65532,201,10,1271676160
2618,86463,66840,913,2,1264882688
9343,90010,66688,6,2,1262545664
6624,95545,64642,138,1,1262206208
523,86575,66677,834,1,1261853696
4810,81995,68077,591,1,1255969792
5628,82275,68597,74,3,1255003648
5294,82983,67272,804,2,1253480448
8460,92664,64795,236,2,1253384704
9732,71665,71665,262,1,1252131328
4786,88228,65879,437,2,1251730944
3063,90871,64941,461,2,1251404544
382,80825,68759,95,1,1251147776
6796,82141,67682,515,2,1250138112
8950,85227,66484,534,4,1248284160
5905,82949,67867,57,8,1248175360
9216,80554,66746,1411,1,1246595584
8907,94826,63580,53,1,1243731968
5009,78872,67826,848,1,1243575296
5450,76272,68536,924,2,1242865920
577,81263,67049,436,1,1236664320
5510,85240,65056,935,1,1236638208
9235,76692,68150,616,5,1234331648
6592,82260,66343,471,1,1232395008
774,86783,65356,75,1,1232299264
219,81862,66975,53,2,1231650816
4906,79096,65506,1787,1,1230606336
4601,79012,67300,361,2,1228852480
1022,86862,64459,445,11,1227503360
9988,83656,64431,1273,1,1227468544
7622,80982,64813,1651,4,1227438080
8001,84190,65293,388,4,1225679872
7546,82240,64796,1104,2,1223142656
6716,80532,65897,613,1,1221523712
34,69464,68928,1072,1,1220918784
3923,74042,68309,377,1,1220662016
6844,74665,68521,54,1,1220518400
200,76628,66555,957,13,1219269376
4611,84180,64942,231,5,1218333696
1805,81652,65632,254,8,1216780032
5247,81079,64821,990,3,1216444928
3336,76342,67411,233,1,1216440576
4585,75229,66743,815,7,1213085184
4352,68452,68452,1201,5,1212597760
5074,79979,64874,921,1,1211122432
9992,85262,63702,447,3,1210587136
4161,97130,59996,200,6,1209590528
8210,71926,68645,15,5,1209590528
6856,79072,65047,773,2,1206870528
4818,89022,62552,73,1,1205399552
2702,85204,62836,689,1,1203214848
9935,80567,64964,132,3,1201147648
2462,69597,68618,4,2,1198871552
892,68576,63884,3797,3,1198662656
5566,68779,68779,29,1,1197835776
9851,95576,59482,258,1,1197061120
3413,81597,63711,493,4,1195568384
7275,84322,62361,804,1,1195176704
7486,74685,64842,1328,1,1194750208
1875,67536,67037,1393,3,1193453312
1803,79276,63996,736,1,1193379328
3907,108863,55011,13,3,1192273920
6054,72767,66226,514,1,1190302464
6905,76124,65637,115,2,1190289408
4697,87371,61804,105,1,1189005568
4794,79831,63205,874,1,1187869696
6580,81797,63183,299,2,1186141952
5371,82779,62518,549,2,1186085376
8765,69545,67428,159,11,1185924352
3936,71255,65635,1026,7,1184997376
2412,85507,60826,865,7,1181433088
8229,77729,64053,375,2,1181119744
8757,76734,62026,2126,1,1180793344
6673,72189,66209,2,2,1178665216
9334,76606,63980,541,1,1178156032
7564,96162,58009,100,21,1177890560
1158,81763,62472,335,1,1177324800
2539,69679,66137,402,1,1173751808
8191,80213,62601,377,2,1173007616
4537,79012,61998,1102,1,1172515840
6294,76888,63165,605,1,1169856768
3346,78685,62373,706,4,1169134336
7088,80436,61583,768,1,1167480576
3968,78687,62370,593,1,1167097600
8494,72567,63714,1095,3,1166775552
7277,71569,64143,977,1,1165953024
9893,80448,61498,731,1,1165778944
3177,72471,61322,2737,1,1163685632
988,78253,62035,725,3,1163159040
7859,75175,62704,960,1,1162562816
3239,82736,60999,214,3,1160247552
9337,71911,64227,490,2,1160073472
9365,66486,66177,360,1,1159646976
21,81808,59330,1632,1,1159076864
9288,81127,61559,86,2,1158315264
4198,65864,63989,2058,8,1158023680
9281,76717,62728,266,1,1157505792
4479,73714,62927,829,1,1156835584
8498,74822,63258,192,3,1154916352
3927,74850,61599,1146,1,1149959424
6721,67715,63142,1760,1,1149741824
4237,76996,61291,815,1,1149515520
411,74578,62392,489,1,1147692032
2977,77432,60842,932,2,1147600640
6360,70852,57647,4955,5,1147322112
509,70508,64332,17,1,1147091456
2136,88187,58259,41,1,1145159168
8224,88081,57580,534,2,1144428032
5573,77763,60644,736,2,1143044096
8343,73977,62692,138,1,1142883072
9100,70443,62851,863,2,1142212864
1105,80337,59968,528,2,1141799424
215,74956,61933,330,1,1140576512
6709,78695,60661,325,1,1140154368
6705,79144,60862,31,1,1139614720
895,80967,58200,1555,4,1139362304
3278,70392,63577,40,15,1137312512
25,65848,64203,696,3,1136973056
7148,74871,61826,152,1,1135710976
2260,86041,58049,128,2,1134605568
6983,74768,61171,546,2,1133582848
6900,73762,61780,341,1,1133574144
5964,110881,49626,66,1,1131646208
8953,70174,62790,297,1,1130379776
6972,75504,59944,1013,1,1128882688
9301,79915,59668,64,1,1127955712
3909,75617,60432,497,3,1126789376
1221,79219,59261,445,4,1126284544
5821,79472,57735,1494,1,1125683968
3144,70486,61949,363,3,1121932544
7041,76478,59171,714,3,1117850368
6126,65683,63681,7,1,1117419520
6824,73883,60444,380,1,1117336832
1778,65923,61388,1611,1,1116449024
1008,76608,59125,595,3,1115744000
8291,71383,61189,335,2,1115413248
8962,75670,59936,183,1,1115052032
2778,72371,61025,189,1,1115017216
8114,86870,56281,48,4,1113763840
3855,79327,58188,469,1,1113124096
3380,69600,60594,1072,1,1112701952
70,70132,60007,1363,3,1112445184
2836,73319,60155,424,3,1111901184
3654,68508,61837,361,1,1111801088
5231,73122,60524,120,1,1110543360
8725,74000,59161,920,1,1110495488
2215,72391,60478,279,2,1109542400
3547,69965,60021,1187,1,1108811264
6429,72000,58757,1617,1,1108650240
4282,75334,59408,241,7,1107784192
2664,73987,59418,504,3,1106578688
9350,79089,57599,580,1,1106330624
4163,91408,54106,90,5,1105860608
7287,67290,61542,502,3,1105129472
9913,73105,59425,470,1,1102213632
180,74646,58701,569,2,1101203968
9084,69652,59883,849,1,1099763456
4475,81206,57113,34,5,1099746048
1418,77945,58066,92,1,1098953984
6154,75717,58344,418,8,1098653696
3606,72857,59343,244,27,1096468992
7660,72515,59561,83,1,1094684672
5049,73611,57735,1121,2,1093696768
2315,81660,56019,321,1,1092382464
6160,72213,58326,910,2,1091655680
2839,75596,58126,207,2,1091529472
6752,77898,56329,946,1,1090937600
6919,72560,58898,340,1,1090698240
6569,69591,57893,1755,2,1089301248
654,71317,59190,264,1,1087778048
8578,69133,59501,565,1,1087573504
510,77403,57036,320,7,1087194880
4478,70648,59339,271,3,1086959872
8307,71708,57951,905,1,1084461824
415,68003,59815,427,1,1084353024
4562,74437,57494,501,1,1083339008
2654,73075,58384,140,1,1082747136
3757,68948,59400,370,7,1082133504
6220,80813,55725,148,2,1081859328
8087,70006,56159,2425,51,1080771328
4750,68636,59740,109,4,1080632064
2670,65931,58158,1932,2,1079913984
5477,72640,56992,1050,1,1078521344
3525,74678,56740,722,1,1078390784
4790,69107,59344,154,1,1078255872
2200,68054,57423,1841,2,1077972992
2271,73686,57869,93,4,1077903360
143,70186,58746,295,1,1077598720
722,67615,59107,659,2,1077472512
5461,92471,51597,71,6,1077411584
6170,76663,56595,277,1,1077389824
4384,71857,58364,129,1,1076993792
4150,83262,54659,15,1,1076271360
2833,76161,55846,823,3,1074957056
4330,61585,59705,1546,1,1074465280
2489,70249,58130,537,3,1074069248
188,73732,57027,402,1,1072450304
4705,74475,56711,440,4,1072258816
5765,74152,56880,345,1,1071366656
2172,62214,61207,12,3,1070135040
3545,69730,58523,63,1,1068664064
600,82154,54442,12,6,1068629248
7043,76731,55517,560,1,1068537856
8641,76642,55287,655,4,1066840576
6758,71217,57402,411,3,1066583808
431,73189,56849,289,1,1065796096
6504,62941,58813,1306,67,1065404416
2139,75909,55695,368,17,1064151040
8846,66273,58834,349,4,1062697472
8535,72410,55946,950,1,1062123008
7667,110948,44269,46,4,1061687808
2572,98307,48121,276,7,1061008896
3165,68170,58069,331,1,1060612864
610,72472,55923,820,1,1059829504
9411,69298,56685,972,3,1058637056
7273,69601,57615,174,3,1058206208
618,67240,58389,147,8,1057631744
4177,68426,57873,184,1,1056609024
2738,72646,56226,345,2,1056286976
2504,69907,56988,423,1,1055660288
6106,69941,56756,573,1,1055390464
1197,73503,55761,359,1,1054176256
2943,92943,49613,41,5,1053027328
1283,70320,56687,349,1,1052239616
8078,70225,56678,359,1,1051882752
2573,72307,56120,194,1,1050786048
5102,63040,59095,265,2,1050546688
4069,67865,57427,287,1,1050137600
6743,68361,55140,1848,2,1049624064
5571,60269,60269,11,3,1049406464
4151,69828,57013,63,1,1049376000
5669,63109,58020,967,2,1049032192
2230,60098,60098,135,4,1048601344
1654,65954,58219,81,2,1048588288
6741,60202,60202,3,2,1048087808
4737,73143,55311,401,3,1047491584
933,71627,56157,76,2,1046268672
5818,78592,51954,1433,1,1045315584
856,72897,55659,71,4,1045232896
8842,61812,58340,777,1,1044244992
339,73258,54917,452,2,1043722752
6891,68007,56575,449,7,1042530304
3301,62029,59088,24,10,1041964544
336,71626,55140,582,5,1041833984
4766,76628,53796,286,4,1040889600
7783,69021,56236,271,29,1039705856
3673,72930,54779,404,1,1039644928
7530,66005,56573,698,1,1038047744
832,63877,55725,1846,1,1037699584
903,68843,55653,606,2,1036798720
254,68029,55660,761,1,1036032768
3045,66015,56317,659,1,1034070016
4884,66319,56548,380,1,1033552128
6779,72759,54712,146,1,1033534720
9736,65881,57060,101,2,1033486848
7720,75917,52426,1027,2,1032781824
9412,76283,52827,548,1,1031258624
5739,67487,56296,113,2,1030710272
9497,69661,55315,301,4,1030662400
4121,61504,56723,1262,2,1030248960
3395,67058,54977,1174,2,1030092288
4666,72373,54254,361,1,1029617920
3557,74075,54044,64,4,1029152256
9808,66211,56598,104,1,1028930304
8742,68516,55659,208,2,1028525568
8673,58825,56823,1711,1,1027698688
5020,66666,55522,726,1,1027689984
9830,68357,54930,726,1,1027320064
3263,67419,54804,1013,2,1026601984
5799,63979,54901,1775,1,1026149376
7844,65182,56711,102,1,1025892608
6122,71738,54074,419,1,1025513984
3623,71426,54327,302,2,1025435648
5205,71135,53974,564,1,1024108288
5933,66819,56140,8,2,1023938560
3357,67099,55675,234,1,1023007232
3294,67802,54852,671,3,1022955008
1415,91949,47599,36,3,1022293504
9931,66849,55943,18,3,1021684224
1545,70585,54377,171,16,1020330752
8674,67666,54912,478,2,1019773696
1629,66061,54855,882,3,1019090432
894,66238,55496,353,1,1018994688
6950,83925,49924,85,2,1018568192
7171,69518,54479,175,2,1016905728
5647,64567,55992,274,4,1016862208
5608,69799,54220,292,7,1016849152
5886,65235,55805,222,5,1016435712
1724,71013,53538,334,2,1013894144
3436,69099,54001,443,1,1013493760
3295,66120,54461,838,1,1013411072
4541,64933,55430,377,5,1012923648
7888,63732,54196,1568,1,1012266496
6660,98354,44592,68,4,1011478784
8937,65306,53496,1627,5,1011056640
1482,63630,54827,1050,1,1011043584
1480,63427,55702,439,2,1010960896
3420,69095,54241,112,1,1010847744
2354,71547,53253,205,2,1010251520
3869,70773,53160,439,1,1009729280
7211,66729,53612,1019,1,1008127744
1671,66113,54184,711,2,1007566336
5456,68816,54047,103,2,1006957056
3639,65146,54116,931,16,1006482688
1595,70480,53378,154,2,1006352128
829,64312,55354,190,3,1005947392
9057,65127,55163,68,4,1004889856
9535,75750,51588,91,3,1004833280
4224,80055,50218,24,8,1004580864
7122,76193,51292,86,7,1002861824
5323,88378,47274,27,3,1002352640
9426,62785,54991,630,2,1002209024
1227,63446,53451,1610,1,1002026240
1682,62898,55661,1,2,1000498688
5546,57417,57416,21,1,999893760
1110,66283,54116,216,3,998814464
4662,76635,50698,178,13,998710016
4876,65456,54392,161,3,997861376
7166,57195,57195,65,1,996808192
9812,65333,53892,503,3,996751616
7419,60686,54781,929,5,995576576
9148,69389,52735,246,3,994823680
1702,66522,53705,81,1,992112384
9473,64992,53758,399,1,991681536
1272,92495,44953,115,1,991472640
2463,64221,54250,140,1,990241024
1908,68450,52220,550,2,989292288
3559,54809,54771,1994,3,988382720
5957,68764,52589,139,1,988308736
1534,63107,54414,180,2,988243456
9471,69603,50306,1622,1,987969280
7069,65973,53604,40,12,987834368
6679,69417,51919,383,2,986663680
8130,70072,51796,307,1,986572288
2495,69599,51931,306,2,986272000
1355,67888,52488,266,2,985401600
3148,59634,53089,1873,2,985301504
7116,65962,52597,600,2,984257024
3837,67836,51961,604,1,984165632
7726,71131,51473,103,1,983412736
8415,64622,53178,425,1,982951424
3463,65208,53226,231,1,982751232
7392,65040,52789,585,2,982490112
7636,67277,52458,263,2,982298624
45,66473,52529,377,3,981724160
4125,66218,51760,978,31,981402112
7946,64730,52709,619,1,980675328
3646,60480,54267,449,1,979561216
7842,64537,53122,157,2,977198080
3223,67397,51828,373,12,976641024
667,90321,44637,14,4,976166656
5898,65206,51829,874,1,975696640
8557,67005,51518,588,1,974486784
9323,66915,51842,363,2,974421504
2331,68916,49618,1517,1,974169088
9346,60606,53660,440,3,972054016
110,61586,51959,1460,1,971840768
7033,66822,51969,136,7,971788544
5126,68319,51224,292,1,971214080
5109,63129,52925,310,1,971148800
7403,65563,51610,587,2,969408000
7994,60684,53934,25,1,968720384
3508,57130,54503,486,1,968707328
4136,63578,52488,353,3,968172032
2106,62935,53062,69,3,967923968
1208,78184,47905,106,1,967575808
7369,63016,52013,804,2,967362560
1354,64191,51835,610,2,966775040
7331,62818,52820,125,3,965230080
9419,56278,53245,1442,1,965217024
9519,69672,50257,152,1,962040064
9016,60105,52269,1016,1,961713664
8048,53436,53033,2065,23,961213184
2426,60337,52390,796,1,960473344
8237,67844,50239,490,1,959733504
6819,68700,50170,283,1,958954496
8072,65900,51385,50,1,958575872
6862,62669,52343,138,1,958554112
4536,69606,50105,53,4,958084096
7455,65305,50189,1055,1,957866496
3405,74683,48424,21,13,957792512
4366,61794,52227,308,1,956190976
4680,62844,52162,66,2,955712256
1938,65708,50377,688,1,955686144
4924,62783,51464,571,1,955111680
6685,62266,51797,431,1,954772224
1675,61328,50577,1579,1,954746112
9775,59150,52123,881,3,953327360
3788,66896,50322,292,1,953244672
9939,62120,51864,296,1,952661504
6015,58020,52814,510,1,950946816
377,80841,45667,146,2,950629120
9925,57788,52170,1018,1,950372352
4897,61442,52133,128,1,950298368
3258,62866,51561,198,1,950246144
9402,59110,52504,408,1,949867520
2630,59521,51013,1400,2,949471488
8677,61184,50426,1420,1,949380096
1880,66469,50143,288,2,948992768
1486,65633,50409,279,6,948722944
2640,64538,49352,1288,6,947721984
8924,57666,52689,497,2,947560960
8966,62854,51040,411,1,947099648
8575,62386,51548,137,1,946925568
4652,60699,51412,635,2,946490368
3920,64187,50863,145,3,945985536
2049,61285,51332,485,1,945371904
4493,55020,52867,873,1,944901888
6531,70189,48931,17,1,944627712
5747,68350,48637,664,1,944048896
1655,75932,46863,57,1,943317760
9514,55230,52572,881,5,942155776
3304,60480,51945,23,4,941868544
8506,65385,49242,802,1,941446400
1488,60155,51193,599,1,940623872
9026,64374,49445,851,1,940549888
8990,60890,50672,762,1,939857920
7415,64696,49881,331,1,938591488
7152,53780,53780,55,4,937224960
4405,65498,49762,125,3,936968192
5547,61833,50061,792,3,936532992
5050,58179,52283,29,3,936358912
