uid,cards,notes,decks,presets
211,1323,1145,17,1
212,2735,2509,68,1
213,179,179,1,1
214,4482,3230,161,1
215,74956,61933,330,1
216,2994,1490,25,1
217,7502,4785,14,1
218,40848,38762,347,12
219,81862,66975,53,2
220,9595,9134,35,1
221,4265,4265,687,1
222,20885,16602,579,1
243,46284,37110,178,1
244,124,124,9,1
245,51365,50765,18,2
246,5499,4862,223,1
247,7862,6428,23,2
248,7979,3367,13,1
249,12827,10411,173,2
250,2041,1275,3,1
251,23390,17179,443,1
252,46876,38169,124,2
253,1865,1865,130,4
254,68029,55660,761,1
255,1409,1186,15,1
256,623,623,20,2
257,4041,4038,33,1
258,23194,21172,407,1
259,16495,16495,10,1
260,3871,3871,7,1
261,12203,7596,3,1
262,21524,21172,570,1
183,22394,21193,179,1
184,7459,5437,77,1
185,3523,3523,5,1
186,1428,714,2,1
187,1119,1119,36,1
188,73732,57027,402,1
189,46057,37254,75,2
190,3376,2332,6,1
191,5438,1432,383,1
192,21291,17566,108,1
193,5556,5544,124,2
194,48690,39758,200,1
195,1682,1133,38,1
196,6761,5389,76,1
197,2094,1361,7,1
198,16477,14291,201,1
199,51277,40035,316,1
200,76628,66555,957,9
201,3808,3808,181,3
202,49522,37073,124,1
263,7099,6162,152,1
264,702,652,18,1
265,8783,8783,24,1
266,151725,88891,209,2
267,53834,44488,85,2
268,15613,11631,81,1
269,43554,34966,64,1
270,11793,3949,6,3
271,6797,3191,275,2
272,16640,16640,137,2
273,12113,9278,85,1
274,13179,12906,810,1
275,3023,3023,17,1
276,42821,35056,60,2
277,38080,31349,136,4
278,6691,4459,191,1
279,3470,1878,107,1
280,807,807,53,1
281,30459,29282,67,6
282,2679,1341,41,1
283,2149,2149,119,1
284,55125,44197,312,2
285,38913,23836,20,3
286,10964,7782,26,2
287,814,814,81,1
288,3204,1928,56,1
289,5242,5242,22,1
290,48993,40419,65,1
291,2954,2948,108,1
292,19318,18293,198,6
293,722,535,3,2
294,1461,814,2,1
295,4859,4859,25,1
296,13474,9931,18,4
297,986,327,2,1
298,2872,2872,46,1
299,30233,26115,275,150
300,1322,1087,52,2
301,6531,5151,24,1
302,13904,12755,293,1
303,24567,18707,522,1
304,3832,3832,37,1
305,5520,4425,7,1
306,2257,2257,3,1
307,5755,5743,125,1
308,29680,28188,652,1
309,77,77,4,1
310,47732,36977,185,1
312,3712,3712,122,1
313,2644,1382,11,2
314,13834,7626,6,4
315,1202,1192,175,3
316,4022,4022,66,11
317,323,323,3,1
318,1,1,1,1
319,4251,4251,52,1
320,8245,8238,34,1
321,1853,1853,3,3
322,2093,2080,8,1
323,87924,72442,297,1
344,18695,12380,153,1
345,1236,1227,7,2
346,2121,2121,2,1
347,905,905,37,1
348,2956,1709,19,4
349,43136,34615,56,1
350,2556,2556,3,1
351,16188,15786,121,1
352,377,377,10,1
353,3189,3189,2,2
354,3379,2926,34,9
355,1051,1051,2,1
356,293602,163989,396,4
357,2673,2670,37,1
358,22522,19308,290,1
359,4350,2609,39,1
360,6512,6485,257,1
361,105348,92211,815,4
362,24758,24443,329,1
363,2130,2130,4,1
364,1951,1932,92,3
365,672,672,55,1
366,3992,3992,25,3
367,16867,12732,11,3
368,10966,4626,9,7
369,1453,934,4,1
370,5322,4893,157,1
371,978,319,1,1
372,244845,97481,52,5
373,1377,1273,12,1
374,11869,11206,52,1
375,4567,4567,4,1
376,1358,1054,23,1
377,80841,45667,146,2
378,279,279,7,1
379,21614,15841,40,1
380,4231,4050,43,1
381,15061,15061,191,1
382,80825,68759,95,1
383,4445,4445,87,1
384,116581,94016,676,1
385,10,10,1,1
386,89156,73752,840,2
387,13740,11802,85,1
388,18942,18937,8,1
389,3613,1881,9,1
390,8735,6572,40,1
391,9705,9705,16,5
392,13268,13268,2,1
393,3261,3261,33,1
394,693,476,4,1
395,16295,8166,52,1
396,19302,17451,673,1
397,44710,35623,135,1
398,12659,12489,23,1
399,17517,6129,11,5
400,1637,1637,19,1
401,1883,1592,11,1
402,51687,47088,1001,1
403,5644,5642,326,1
404,216,108,2,1
405,7331,7285,163,1
406,6341,6257,93,1
407,2263,1371,6,2
408,28433,27031,27,5
409,16763,12495,84,1
411,74578,62392,489,1
412,7048,7048,3,3
413,1992,1977,22,1
414,1818,1745,89,1
415,68003,59815,427,1
416,4132,2305,9,1
417,9,9,3,1
418,7253,7253,3,1
419,3390,3380,23,1
421,71811,36805,154,3
422,5780,5780,3,1
423,57998,45394,521,1
424,14558,14558,12,3
425,44585,35931,228,1
324,4995,3944,27,1
325,699118,680790,308,14
326,1646,1646,1,1
327,47603,39374,750,3
328,5055,5055,42,1
329,2409,2409,8,1
330,683,683,1,1
331,2395,2387,220,1
332,26773,25590,1366,1
333,18390,18387,25,1
334,1615,1615,40,1
335,11331,5667,19,4
336,71626,55140,582,5
337,1574,1574,21,1
338,1029,367,5,1
339,73258,54917,452,2
340,41200,33984,83,1
341,9767,9767,5,5
342,1944,1646,147,1
343,26075,24571,253,4
426,12174,6813,33,1
427,1294,1294,2,1
428,5923,3773,38,1
429,86,86,2,1
430,106263,84464,260,2
431,73189,56849,289,1
432,7783,5409,7,2
433,35123,28692,2,2
434,1975,1975,39,2
435,90311,76176,1203,1
436,31351,28531,725,1
437,4319,3823,98,1
438,1223,1208,8,2
439,665,606,24,1
440,5730,5729,120,1
441,1212,1212,146,1
442,58380,49954,165,3
443,7903,7752,19,1
444,13429,6552,17,1
445,1245,1245,1,1
446,114555,96129,1064,3
447,43627,37190,863,3
448,10512,9209,181,1
449,2796,2444,42,1
450,35496,21329,133,5
451,7069,5959,51,1
452,12734,12527,26,1
453,48772,39380,77,3
454,1556,1556,29,1
455,614,614,3,1
456,11848,10192,64,3
457,14746,13177,616,1
458,15626,11389,29,2
459,33170,27499,858,1
460,147,147,1,1
461,5131,5128,58,1
462,6819,6819,217,1
463,4029,4029,2,2
464,47268,26414,25,4
465,101364,84712,206,7
466,2073,2073,13,2
467,3663,2587,36,2
468,6416,3228,89,1
469,50930,38111,615,1
470,26849,8879,1962,1
471,15439,9202,238,1
472,112,112,5,1
473,239,239,15,2
474,23250,21194,166,1
475,24480,19029,515,1
476,1031,1031,2,2
477,9037,5019,92,2
478,508,508,5,1
479,285,285,1,1
480,20587,10609,60,1
481,125768,110313,859,3
482,1127,1109,36,3
483,1490,1490,1,1
484,6962,4180,14,2
485,29693,25236,126,1
486,186,25,2,1
487,6708,5273,76,2
488,19128,16469,5,1
489,22481,21637,1142,13
490,2189,2189,5,3
491,8068,8068,23,5
492,3722,2258,30,7
493,27208,26853,75,5
494,43843,26302,15,3
495,3560,3560,36,1
496,4724,4722,25,1
497,15267,15267,39,2
498,37401,28899,213,2
499,22298,17150,38,1
500,32442,29021,525,1
501,3454,3454,5,1
502,3701,3608,97,1
503,41272,36217,38,1
504,5219,5219,10,1
505,1756,1756,21,1
526,2903,2903,10,1
527,9572,6301,46,1
528,2888,2885,95,1
529,6226,6226,36,4
530,92322,68472,131,3
531,26514,22996,479,2
532,41382,25415,19,16
533,6958,4376,50,4
534,240,198,3,1
535,1551,1261,19,1
536,367,367,12,1
537,60347,51246,128,3
538,14482,12801,36,2
539,120929,81961,129,1
540,58461,50140,111,2
541,487,487,3,1
542,26278,25735,578,1
543,1000,1000,1,1
544,11715,5865,11,6
545,463,462,20,1
506,5018,2509,2,2
507,236035,216317,330,1
508,9268,4634,176,1
509,70508,64332,17,1
510,77403,57036,320,7
511,46184,44761,510,1
512,61023,48275,279,2
513,4490,3510,160,1
514,42216,34464,32,1
515,610,347,6,1
516,1535,1535,170,1
517,3846,3846,7,1
518,8715,7476,83,1
519,12953,12189,156,1
520,45554,29555,61,1
521,64,64,1,1
522,9148,8235,215,1
523,86575,66677,834,1
524,2710,2710,50,4
525,10216,7521,11,5
546,24128,19802,158,1
547,697,696,2,2
548,50555,50353,1767,1
549,14339,12135,55,19
550,53556,46359,244,2
551,499,499,4,2
552,2228,1114,2,1
553,6831,4159,230,1
554,25027,18439,87,1
555,90707,78251,425,1
556,15947,14333,156,1
557,10346,5201,8,1
558,3804,1946,24,1
559,43288,34732,60,1
560,13887,7939,11,1
561,16013,13176,377,1
562,2010,2010,10,1
563,9524,9407,214,1
564,2225,2225,3,1
565,4381,4381,10,4
566,15149,14943,74,1
567,9895,9895,14,1
568,19399,10720,49,1
569,4930,3222,5,4
570,98090,85573,1771,1
571,46760,37946,75,1
572,1429,826,11,1
573,18943,18251,268,1
574,27642,27442,320,1
575,54943,47394,1420,2
576,472,472,11,1
577,81263,67049,436,1
578,746,746,27,1
579,8348,8348,344,1
580,877,877,3,1
581,1818,1818,56,1
582,8325,8325,13,1
583,9071,8219,3,1
584,22215,21285,703,7
585,47251,38130,67,2
606,3618,3618,11,1
607,747,602,7,1
608,37,37,2,1
609,2194,2194,36,1
610,72472,55923,820,1
611,53144,46675,19,1
612,26788,14186,67,10
613,10156,5096,19,3
614,3919,2070,6,1
615,23092,23082,502,1
616,2472,2472,19,1
617,21572,20567,345,1
618,67240,58389,147,7
619,18931,15465,15,10
620,5663,5642,312,1
621,2856,2529,21,1
622,9612,9580,557,1
623,9609,9066,311,1
624,1393,1393,12,1
625,5031,4892,4,1
586,2796,2444,42,1
587,61157,48256,602,4
588,40318,34840,98,1
589,4884,3484,92,1
590,450,450,15,1
591,7896,7841,56,2
592,1811,1811,5,1
593,5797,4132,50,1
594,13006,13006,10,1
595,3739,2347,32,1
596,1393,1393,4,1
597,60022,44957,227,3
598,7453,7447,824,1
599,50975,25988,38,8
600,82154,54442,12,6
601,48791,38584,115,1
602,13021,10357,149,2
603,10491,10400,60,3
604,566,566,6,1
605,4527,4520,17,1
647,52923,46363,766,1
648,4985,3987,6,1
649,21479,16301,11,2
650,19080,19080,1,1
651,2021,1935,28,3
652,12789,7125,12,1
653,9354,8641,94,1
654,71317,59190,264,1
655,26386,23372,139,3
656,29827,29103,13,2
657,989,988,24,1
658,5532,5532,87,1
659,8943,5055,293,2
660,32784,23263,45,2
661,9067,6481,126,1
662,1633,1525,24,1
663,8340,8257,436,1
664,1361,1330,21,1
665,9245,9124,1161,1
666,10873,10286,48,3
667,90321,44637,14,3
668,35167,28729,2,1
669,10934,10934,10,1
670,57107,45297,923,2
671,5366,5251,41,1
672,21282,16794,425,1
673,10395,10395,85,3
674,19042,17589,196,3
675,4690,2346,50,1
676,5948,2862,248,2
677,20218,20195,28,5
678,6127,3468,110,1
679,104929,88787,1331,3
680,3962,3962,7,1
681,3634,3634,2,1
682,1991,1991,100,1
683,20699,12504,61,5
684,11084,5837,5,1
685,2418,2418,78,1
686,2249,2249,97,1
687,24928,20650,238,1
688,10877,10435,234,1
689,16701,16701,25,1
690,2625,2625,87,3
691,21532,21057,32,8
692,6122,4556,18,1
693,55342,44574,272,2
694,3777,3777,12,1
695,564,333,6,1
696,5650,5650,25,1
697,21239,10638,28,3
698,4358,2009,6,1
699,94827,38995,58,8
700,9313,5459,4,1
701,3041,1419,4,1
702,3804,3804,61,1
703,30144,30144,110,1
704,1483,943,23,2
705,20645,17299,640,2
706,35012,28578,491,2
626,3417,3406,21,1
627,14726,14726,155,2
628,52724,35025,89,9
629,1256705,931909,764,3
630,57933,46585,529,2
631,3045,2119,58,1
632,32126,30590,158,1
633,34,34,1,1
634,2454,2395,132,2
635,2627,2627,1,1
636,12780,11993,120,1
637,4008,3012,85,1
638,5831,2745,3,1
639,9779,9063,5,1
640,38597,20400,9,3
641,5793,5793,12,2
642,9561,9494,9,2
643,4671,4671,57,1
645,1587,1488,12,1
646,8782,6030,55,1
707,10992,10992,20,7
708,8829,8829,3,1
709,10384,9838,353,2
710,57709,47076,1123,4
711,12797,8010,18,1
712,3608,3608,137,1
713,12479,7661,12,5
714,2452,1226,7,1
715,2388,2388,21,1
716,13263,9300,162,1
717,43182,34550,54,1
718,3436,3330,49,1
719,49429,40880,232,1
720,3727,3577,51,1
721,11992,11672,115,1
722,67615,59107,659,2
723,30671,30165,989,3
724,3150,1812,9,1
725,4944,3755,88,1
726,6105,4973,37,1
727,155,155,8,1
728,82,82,2,1
729,60771,48793,290,1
730,23354,19480,427,2
731,3690,3690,6,2
732,423,423,3,1
733,2469,2469,1,1
734,8774,7414,138,1
735,10545,5512,8,1
736,39713,31721,160,1
737,3859,3558,8,1
738,12233,12193,103,2
739,34784,17962,14,4
740,1737,1736,19,1
741,16365,11737,18,1
742,42788,35662,285,2
743,17594,16149,348,3
744,5713,5713,11,2
745,48360,38785,252,1
746,1629,1408,29,1
747,54215,42561,378,2
748,44067,35532,70,1
749,12852,7360,344,3
750,5196,5196,127,1
751,423,423,3,1
752,1035,1035,34,1
753,835,835,72,2
754,6995,6990,1226,1
755,6047,2956,31,1
756,1174,1174,15,1
757,4141,2950,4,1
758,125185,95802,1371,2
759,2110,2105,62,1
760,14700,12244,126,1
761,2084,2084,13,3
762,4172,2334,71,2
763,1115,1100,18,1
764,93300,73395,751,3
765,25038,16509,349,1
766,5690,5346,2,1
787,37126,29664,57,1
788,361,361,3,1
789,46869,38914,530,2
790,3600,3600,6,1
791,4314,2154,3,1
792,19201,13846,14,3
793,1715,1286,54,1
794,1348,1348,98,1
795,30240,26026,631,1
796,6109,6099,64,3
797,18721,17477,54,5
798,6685,6520,130,1
799,5430,5418,36,1
800,3843,2755,14,2
801,3229,2567,3,3
802,2956,2328,8,5
803,7006,3503,4,2
804,1473,1471,71,1
805,759,759,2,2
806,53493,39053,44,1
767,6439,6303,13,1
768,8513,8487,784,1
769,44332,39034,150,2
770,1193,1193,4,1
771,23220,21893,86,1
772,47807,42610,56,1
773,5220,5220,29,1
774,86783,65356,75,1
775,43263,34704,56,1
776,18515,10030,118,4
777,77348,26679,23,2
778,25231,25231,5,1
779,14079,13016,116,1
780,45776,39296,497,1
781,668,614,3,2
782,3199,3199,7,1
783,9282,7132,161,3
784,2390,2390,1,1
785,10795,10795,4,2
786,8169,7347,18,1
807,18174,3327,769,2
808,49972,41396,74,1
809,56888,45175,484,1
810,1172,1172,43,1
811,21868,18222,408,1
812,6458,5979,47,1
813,1613,741,9,1
814,3667,3665,198,1
815,13896,12627,203,1
816,115,115,3,1
817,20374,10064,12,1
818,9757,9748,139,2
819,2890,2863,47,1
820,5363,4916,21,1
821,35505,35048,61,4
822,102029,92866,1384,1
823,58361,46462,82,1
824,34494,26480,888,1
825,16733,9116,344,6
826,5559,5396,171,2
827,8442,8442,279,1
828,9337,5908,46,1
829,64312,55354,190,3
830,21871,18859,188,1
831,2798,2792,119,1
832,63877,55725,1846,1
833,21479,19286,157,7
834,910,477,2,1
835,24608,7923,24,2
836,7496,7496,6,1
837,80,75,7,1
838,9731,9731,50,8
839,1760,1756,14,3
840,4622,4622,213,1
841,16169,16169,1232,1
842,3704,3702,41,2
843,10651,10220,597,1
844,32295,27536,511,1
845,56409,45802,39,1
846,5323,5323,97,1
868,5492,5176,12,1
869,2796,2444,42,1
870,60802,43246,185,1
871,2244,2244,2,1
872,10452,9799,219,1
873,10904,2666,107,1
874,2494,2461,6,2
875,19088,19065,328,2
876,4673,4673,6,1
877,908,908,2,1
878,2377,2377,27,1
879,1849,1849,31,1
880,7658,5125,185,1
881,4221,4221,16,1
882,17799,9621,26,1
883,24620,24557,30,2
884,2533,1524,5,1
885,1171,1171,5,2
886,34091,31880,1060,2
887,9848,9619,219,1
848,7955,7861,85,5
849,126797,103595,485,1
850,45270,37502,126,2
851,87662,69822,336,4
852,47669,36296,321,6
853,226811,163344,219,5
854,6016,5948,29,1
855,27268,20085,310,1
856,72897,55659,71,4
857,57091,48444,284,1
858,7118,3035,293,2
859,2655,1937,103,1
860,8544,8171,245,3
861,9688,7651,168,1
862,11229,11150,3,1
863,22103,20030,362,1
864,34875,34213,42,1
865,3208,3125,76,2
866,60336,45731,487,4
867,3612,3612,25,1
928,743,743,7,1
929,29393,14878,7,1
930,1130,566,43,1
931,8942,5673,370,1
932,16197,16197,117,2
933,71627,56157,76,2
934,7650,5893,5,1
935,3396,3396,3,3
936,1033,1033,2,1
937,2365,1778,46,1
938,45330,36802,60,1
939,4841,4841,20,5
941,9809,4908,3,1
942,3157,3065,12,1
943,30239,24248,353,3
944,4418,4387,27,1
945,23436,19138,94,1
946,45136,45083,634,4
947,49949,39787,74,3
948,295,295,4,1
908,1271,1271,18,1
909,3183,3162,15,7
910,3930,3930,223,1
911,4778,1160,22,3
912,13326,12744,897,1
913,33431,23541,336,1
914,7553,4643,28,1
915,3018,3018,1,1
916,14845,14845,2,1
917,33228,26822,59,1
918,31853,30433,193,4
919,43083,41767,356,1
920,38593,32143,116,2
921,1870,1866,46,1
922,589,553,15,1
923,2154,2129,49,1
924,11787,9750,49,1
925,46742,37888,81,1
926,2603,2026,14,2
927,82080,40871,11,8
888,24505,21958,742,1
889,21297,21277,506,1
890,3034,2692,16,1
891,423,423,4,1
892,68576,63884,3797,2
893,46195,37198,102,1
894,66238,55496,353,1
895,80967,58200,1555,4
896,48534,40502,62,1
897,93908,78089,255,1
898,47932,37546,265,1
899,1794,1768,141,1
900,1500,1240,18,1
901,20426,19655,177,1
902,790,790,11,1
903,68843,55653,606,2
904,567,551,12,1
905,17290,9950,9,2
906,11443,10935,102,1
907,34702,28836,866,1
949,14536,13746,198,1
950,39682,32533,100,1
951,49944,41187,46,1
952,18530,13553,10,3
953,29130,18352,433,10
954,13893,10584,39,2
955,2037,1054,7,1
956,15553,15324,351,1
957,1748,882,17,1
958,2951,2848,18,1
959,6380,4050,149,1
960,15832,15693,330,8
961,44970,36506,334,2
962,14504,14393,173,1
963,2895,2893,41,1
964,6059,6057,8,2
965,8694,5014,6,4
966,11819,8217,16,3
967,5600,5600,91,1
968,48826,38324,22,2
969,197311,102479,31,2
970,12717,4694,25,5
971,37154,30306,3,1
972,11988,11988,1,1
973,58089,30846,55,1
974,3616,3616,14,1
975,7251,7212,272,1
976,690,690,21,1
977,445,445,10,1
978,788,546,21,1
979,3431,3431,19,1
980,4758,4499,36,1
981,23951,14030,62,1
982,40934,23926,53,1
983,2963,2923,20,1
984,3432,1807,82,1
985,16125,15661,11,2
986,3537,3311,13,1
987,3706,3627,144,1
988,78253,62035,725,2
989,7707,7707,200,1
990,31977,28625,75,1
991,540,540,4,1
992,6,3,1,1
993,45664,35045,271,10
994,699,699,1,1
995,6388,5042,33,1
996,3656,3656,37,1
997,433,290,7,1
998,9156,8921,136,6
999,102040,68420,152,11
1000,7518,5855,155,1
1001,23698,21904,40,2
1002,126722,106919,422,2
1003,4682,2341,2,1
1004,1075,1075,17,1
1005,2895,2891,78,1
1006,1882,1835,28,3
1007,2084,2084,3,2
1008,76608,59125,595,3
1009,1290,1290,1,1
1010,5500,5497,24,1
1011,1203,1183,74,1
1012,9499,9498,145,1
1013,313,306,3,1
1014,6303,5506,295,1
1015,43138,34199,146,1
1016,7496,7354,158,1
1017,91926,74344,855,9
1018,8297,4799,123,2
1019,2160,1972,13,1
1020,446,446,10,1
1021,172,172,3,1
1022,86862,64459,445,10
1023,11779,11705,21,4
1024,30401,23511,17,2
1025,17666,17666,134,1
1026,888,888,3,1
1027,2172,2172,194,2
1028,15837,15526,8,1
1049,831,268,18,1
1050,1388,1388,49,1
1051,53658,52374,263,1
1052,5342,2921,15,3
1053,4453,4453,325,1
1054,1539,1539,17,1
1055,6535,5761,18,1
1056,193792,157166,1750,6
1057,4260,4258,14,1
1058,561,561,3,1
1059,138,138,3,3
1060,31412,26324,13,1
1061,227,227,5,2
1062,7252,7252,11,5
1063,13346,9219,135,1
1064,2411,1861,16,1
1065,9555,7584,53,14
1066,3141,3134,1,1
1067,8628,7591,68,1
1068,3710,3710,2,1
1089,47606,39604,60,2
1090,4480,4418,12,4
1091,1261,763,23,1
1092,10147,9810,93,1
1093,7797,7796,43,1
1094,9415,8908,16,1
1095,4281,3199,184,2
1096,2291,2291,71,1
1097,18735,13088,22,7
1098,12210,7270,50,1
1099,4366,4366,31,1
1100,44084,30756,29,2
1101,10033,5916,255,1
1102,859,859,23,1
1103,32204,31393,16,3
1104,8504,4252,2,1
1105,80337,59968,528,2
1106,19224,19224,4,2
1107,12135,11105,322,15
1108,473,473,13,2
1069,1293,1269,8,1
1070,1717,1717,13,1
1071,3377,1781,40,1
1072,2216,2216,7,2
1073,7435,5447,4,1
1074,4264,4264,148,1
1075,1415,1415,1,1
1076,13294,13294,443,1
1077,2543,2477,49,1
1078,10649,9271,9,4
1079,49745,41196,870,1
1080,8157,8157,2713,1
1081,18435,18369,288,1
1082,2606,2606,2,1
1083,24411,24134,126,1
1084,180239,131867,100,1
1085,1882,1841,23,1
1086,3822,3640,184,1
1087,1277,1277,9,1
1088,17121,17121,51,1
1029,2399,2309,170,1
1030,60295,29656,10,2
1031,37,37,2,1
1032,39186,36908,753,1
1033,28051,16834,61,5
1034,41021,41021,7,1
1035,102436,88804,739,1
1036,12857,10496,378,1
1037,34864,28025,566,1
1038,25894,17270,1,1
1039,789,724,23,7
1040,2237,2237,60,1
1041,18695,13266,14,13
1042,3078,3078,13,1
1043,507,507,2,1
1044,2300,2300,23,1
1045,4265,4264,2,1
1046,15871,11515,222,1
1047,1692,1692,28,1
1048,91757,85151,1600,1
1109,1964,1847,7,1
1110,66283,54116,216,2
1111,1641,1539,49,4
1112,609,593,6,1
1113,22419,20373,16,5
1114,5379,5328,76,1
1115,1093,1093,37,2
1116,33340,25609,67,1
1117,5275,5177,187,1
1118,1863,1863,3,1
1119,6883,6798,269,1
1120,56199,44814,198,1
1121,2033,1619,3,1
1122,4459,2237,104,4
1123,9890,9890,30,1
1124,18845,17324,117,1
1125,26676,15167,101,4
1126,27308,27308,158,2
1127,2409,2409,109,1
1128,4098,4098,1,1
1129,253,253,2,1
1130,1684,940,15,3
1131,6639,6639,2,2
1132,9613,9597,346,1
1133,8596,7568,51,1
1134,4005,4005,400,1
1135,11996,10099,603,1
1136,29252,22237,14,2
1137,9123,9123,126,1
1138,10745,9748,247,1
1139,6966,6966,148,1
1140,3753,3753,32,6
1141,35994,35030,530,1
1142,561,445,9,1
1143,22700,14683,12,1
1144,13518,6767,20,1
1145,15943,15020,120,1
1146,7235,7235,83,1
1147,2159,904,4,3
1148,46478,22297,10,3
1149,6171,6171,23,1
1150,5308,2887,3,1
1151,10599,8299,2,1
1152,721,721,46,1
1153,1415,1415,133,1
1154,6373,6373,8,3
1155,19831,18166,365,1
1156,1023,1023,3,1
1157,3929,1858,15,1
1158,81763,62472,335,1
1159,45558,36479,64,1
1160,3383,3383,121,1
1161,39529,24517,771,1
1162,12774,12774,103,1
1163,3268,3267,1,1
1164,1893,1893,5,1
1165,7361,6849,134,5
1166,8493,3837,19,1
1167,6639,6639,9,2
1168,10721,6408,127,1
1189,21845,17195,41,13
1190,2537,2537,3,3
1191,84573,81691,41,1
1192,193,193,4,1
1193,8,4,1,1
1194,1562,796,5,3
